route_id,stop_id,stop_name,next_stop,derived_next_stop,derived_stop_name
63CT,7,THIRUVERKADU,63CT,63CT,63CT-THIRUVERKADU
65B,1,POONAMALLEE,KARAYANCAHVADI,65B-KARAYANCAHVADI,65B-POONAMALLEE
65B,2,KARAYANCAHVADI,SENNEERKUPPAM,65B-SENNEERKUPPAM,65B-KARAYANCAHVADI
65B,3,SENNEERKUPPAM,MELPAKKAM,65B-MELPAKKAM,65B-SENNEERKUPPAM
65B,4,MELPAKKAM,GOVARDANAGIRI,65B-GOVARDANAGIRI,65B-MELPAKKAM
65B,5,GOVARDANAGIRI,AVADI MOSQUE,65B-AVADI MOSQUE,65B-GOVARDANAGIRI
65B,6,AVADI MOSQUE,AVADI CIRCLE,65B-AVADI CIRCLE,65B-AVADI MOSQUE
65B,7,AVADI CIRCLE,KOILPATHAGAI RD.JN.,65B-KOILPATHAGAI RD.JN.,65B-AVADI CIRCLE
65B,8,KOILPATHAGAI RD.JN.,POLYTECHNIC,65B-POLYTECHNIC,65B-KOILPATHAGAI RD.JN.
65B,9,POLYTECHNIC,THIRUMULLAIVOYAL,65B-THIRUMULLAIVOYAL,65B-POLYTECHNIC
65B,10,THIRUMULLAIVOYAL,AMBATTUR O.T.,65B-AMBATTUR O.T.,65B-THIRUMULLAIVOYAL
65B,11,AMBATTUR O.T.,DUNLOP,DUNLOP,65B-AMBATTUR O.T.
65B,12,DUNLOP,AMBATTUR I.E.,65B-AMBATTUR I.E.,DUNLOP
65B,13,AMBATTUR I.E.,65B,65B,65B-AMBATTUR I.E.
65CCT,1,AMBATTUR I.E.,DUNLOP,DUNLOP,65CCT-AMBATTUR I.E.
65CCT,2,DUNLOP,AMBATTUR O.T.,65CCT-AMBATTUR O.T.,DUNLOP
65CCT,3,AMBATTUR O.T.,THIRUMULLAIVOYAL,65CCT-THIRUMULLAIVOYAL,65CCT-AMBATTUR O.T.
65CCT,4,THIRUMULLAIVOYAL,POLYTECHNIC,65CCT-POLYTECHNIC,65CCT-THIRUMULLAIVOYAL
65CCT,5,POLYTECHNIC,AVADI CIRCLE,65CCT-AVADI CIRCLE,65CCT-POLYTECHNIC
65CCT,6,AVADI CIRCLE,KAVARAIPALAYAM,65CCT-KAVARAIPALAYAM,65CCT-AVADI CIRCLE
65CCT,7,KAVARAIPALAYAM,PATTABIRAM,65CCT-PATTABIRAM,65CCT-KAVARAIPALAYAM
65CCT,8,PATTABIRAM,NEMILICHERI,65CCT-NEMILICHERI,65CCT-PATTABIRAM
65CCT,9,NEMILICHERI,THIRUNINDRAVOOR,65CCT-THIRUNINDRAVOOR,65CCT-NEMILICHERI
65CCT,10,THIRUNINDRAVOOR,NASIC NAGAR,65CCT-NASIC NAGAR,65CCT-THIRUNINDRAVOOR
65CCT,11,NASIC NAGAR,PAKKAM VILLAGE,65CCT-PAKKAM VILLAGE,65CCT-NASIC NAGAR
65CCT,12,PAKKAM VILLAGE,65CCT,65CCT,65CCT-PAKKAM VILLAGE
70,1,AVADI,POLYTECHNIC,70-POLYTECHNIC,70-AVADI
70,2,POLYTECHNIC,THIRUMULLAIVOYAL,70-THIRUMULLAIVOYAL,70-POLYTECHNIC
70,3,THIRUMULLAIVOYAL,AMBATTUR O.T.,70-AMBATTUR O.T.,70-THIRUMULLAIVOYAL
70,4,AMBATTUR O.T.,DUNLOP,DUNLOP,70-AMBATTUR O.T.
70,5,DUNLOP,AMBATTUR I.E.,70-AMBATTUR I.E.,DUNLOP
